=========================================================================================
🔍 VAKU 3.0: MRI SKALPOLÓ DIAGNOSZTIKA (5m ALAP + 1m DEEP DIVE)
=========================================================================================

Fájl: mock_tick_data.csv
Feldolgozott adat: 5,000 tick | Időtartam: 1.06 óra

SZABÁLY: A rendszer 5 perces időszeleteket listáz ki. Ha egy 5 perces szakaszban anomália
történik (Fagyás > 5s VAGY Bármilyen HFT Burst), az algoritmus rázoomol (Deep Dive),
és alatta 1-perces felbontásban is kilistázza a kritikus esemény pontos helyét.
IDŐZÓNA: EET (IC Markets) szerveridő -1 óra korrekcióval Magyar Időre (CET) konvertálva!

Időszak            | Tickek   | P50(T/s) | P90(T/s) | Max Fagyás(s) | >2s Fagyások | HFT Burst(>20T)
  ↳ 2026-01-01 08:35 | 75       | 1.2      | 6.0      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 08:36 | 86       | 1.4      | 6.8      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 08:37 | 72       | 1.1      | 4.8      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:38 | 92       | 1.6      | 5.8      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 08:39 | 75       | 1.2      | 4.0      | 1.5           | 0            | 1 🔥
2026-01-01 08:40   | 388      | 1.3      | 5.2      | 1.5           | 0            | 6 🔥
  ↳ 2026-01-01 08:40 | 87       | 1.6      | 5.4      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:41 | 74       | 1.2      | 3.6      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:42 | 81       | 1.4      | 5.3      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 08:44 | 70       | 1.1      | 7.4      | 1.5           | 0            | 2 🔥
2026-01-01 08:45   | 399      | 1.3      | 6.0      | 1.5           | 0            | 10 🔥
  ↳ 2026-01-01 08:46 | 82       | 1.4      | 7.3      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 08:47 | 71       | 1.1      | 5.2      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:48 | 75       | 1.1      | 4.5      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:49 | 88       | 1.5      | 8.5      | 1.5           | 0            | 4 🔥
2026-01-01 08:50   | 396      | 1.4      | 5.3      | 1.5           | 0            | 9 🔥
  ↳ 2026-01-01 08:50 | 77       | 1.6      | 4.3      | 1.5           | 0            | 3 🔥
  ↳ 2026-01-01 08:51 | 82       | 1.3      | 6.8      | 1.5           | 0            | 3 🔥
  ↳ 2026-01-01 08:52 | 82       | 1.4      | 7.0      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:53 | 81       | 1.4      | 4.5      | 1.4           | 0            | 2 🔥
2026-01-01 08:55   | 407      | 1.4      | 6.9      | 1.5           | 0            | 10 🔥
  ↳ 2026-01-01 08:55 | 85       | 1.7      | 7.1      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 08:56 | 74       | 1.2      | 4.9      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:57 | 83       | 1.4      | 6.8      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:58 | 81       | 1.3      | 7.7      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 08:59 | 84       | 1.5      | 6.6      | 1.5           | 0            | 3 🔥
2026-01-01 09:00   | 272      | 1.4      | 4.9      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:00 | 84       | 1.5      | 5.1      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:02 | 81       | 1.4      | 6.8      | 1.5           | 0            | 2 🔥
